Data file:,V7.1-001-20230118 131634-r001.dx
Sequence Name:,2023---floral volatiles 20122022 samples,Project Name:,Floral volatiles GCMS
Sample name:,V7.1,Operator:,Amelia Gibbs (LANDCARE\GibbsA)
Instrument:,GCMS,Acquired on:,2023-01-18 13:35:42+13:00
Inj. volume:,1.000 µL,Location:,111
Acq. method:,floral volatiles SPME DB-Wax.amx,Type:,Sample
Processing method:,*MS_DefaultMethod-floral-volatiles-2023.pmx,Sample amount:,0.00
Identified peaks from method library
Name,RT [min],Spectra Match Factor,Peak Height,Height %,Peak Area,Area %
Ethyl Acetate,5.089,995,2993622.8,1.24,6053448.8,0.63
Ethanol,5.777,986,5078148.0,2.11,18672588.6,1.94
α-Pinene,7.469,985,36760778.8,15.25,273602237.8,28.37
"Butanoic acid, ethyl ester",7.648,406,75765.7,0.03,94023.0,0.01
"Butanoic acid, 2-methyl-, ethyl ester",8.057,987,1765972.3,0.73,3838939.7,0.40
"1-Propanol, 2-methyl-",9.164,1000,921390.8,0.38,2542458.5,0.26
β-Pinene,9.297,986,2501714.4,1.04,7189126.5,0.75
β-Myrcene,10.901,991,2446843.5,1.02,6477502.6,0.67
"2-Butenoic acid, ethyl ester, (Z)-",11.018,944,1114053.6,0.46,2962867.1,0.31
(+)-4-Carene,11.415,995,2206803.3,0.92,6108963.7,0.63
D-Limonene,12.013,979,4806313.7,1.99,13692638.0,1.42
Eucalyptol,12.463,739,5585004.0,2.32,20338811.9,2.11
"Furan, 2-pentyl-",13.054,937,845406.9,0.35,2446513.1,0.25
Ethyl tiglate,13.307,988,1206674.4,0.50,3381022.6,0.35
β-Ocimene,13.551,775,20782328.6,8.62,76403935.9,7.92
Styrene,13.906,935,18524961.1,7.69,60893636.5,6.32
o-Cymene,14.340,999,18125484.7,7.52,60189744.4,6.24
"Cyclohexene, 3-methyl-6-(1-methylethylidene)-",14.748,980,8818302.2,3.66,26029849.1,2.70
1-Hexanol,17.097,981,2026370.2,0.84,5383022.3,0.56
"Verbenyl, ethyl ether, (1R,4S,5R)-",17.734,977,540810.3,0.22,2071213.5,0.21
"3-Hexen-1-ol, (Z)-",18.102,979,2062341.9,0.86,5646028.1,0.59
p-(1-Propenyl)-toluene,19.691,979,877657.9,0.36,2626069.4,0.27
trans-Linalool oxide (furanoid),20.384,278,2884421.8,1.20,16404713.6,1.70
"2-Furanmethanol, 5-ethenyltetrahydro-α,α,5-trimethyl-, cis-",20.891,935,717216.9,0.30,2656827.0,0.28
Ylangene,21.431,621,55396.0,0.02,110041.6,0.01
Copaene,21.534,919,1220087.2,0.51,6049385.7,0.63
"Benzene, 1-ethyl-4-methoxy-",22.712,269,906670.3,0.38,4165895.9,0.43
1-Octanol,23.149,432,1306990.8,0.54,3452009.6,0.36
cis-α-Bergamotene,24.327,949,637786.5,0.26,2281005.9,0.24
Caryophyllene,24.742,974,803370.4,0.33,3127213.5,0.32
Terpinen-4-ol,24.901,936,3867522.4,1.60,13142029.1,1.36
"2-Butenoic acid, 2-methyl-, 3-methyl-2-butenyl ester, (E)-",25.056,491,559437.1,0.23,2328303.7,0.24
(Z)-Undec-6-en-2-one,25.647,463,814447.8,0.34,2637384.2,0.27
Bicyclosesquiphellandrene,25.767,933,787319.6,0.33,2377759.3,0.25
Isopinocarveol,26.491,963,2210557.3,0.92,6596957.8,0.68
"1-Isopropyl-4,7-dimethyl-1,2,3,4,5,6-hexahydronaphthalene",26.560,954,1049206.7,0.44,3353104.0,0.35
"3-Nonen-1-ol, (Z)-",27.177,439,776301.2,0.32,2294823.6,0.24
α-Terpineol,27.640,956,2322672.0,0.96,7674199.0,0.80
"Bicyclo[3.1.1]hept-3-en-2-one, 4,6,6-trimethyl-",28.031,646,1091157.7,0.45,4266975.1,0.44
"cis-Muurola-4(15),5-diene",28.293,434,1153216.8,0.48,3816675.4,0.40
"Naphthalene, 1,2,4a,5,6,8a-hexahydro-4,7-dimethyl-1-(1-meth",28.416,609,1196119.7,0.50,4221299.0,0.44
"(1S,2E,6E,10R)-3,7,11,11-Tetramethylbicyclo[8.1.0]undeca-2,",28.690,984,2497641.6,1.04,7623386.2,0.79
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",29.310,967,1679372.4,0.70,5422305.7,0.56
Cubenene,30.011,980,1227375.2,0.51,4077899.0,0.42
(-)-Myrtenol,30.360,997,10734695.7,4.45,34236629.6,3.55
"Ethanone, 1-(2-hydroxyphenyl)-",30.482,599,1076422.8,0.45,3662636.0,0.38
"Naphthalene, 1,2,3,4-tetrahydro-1,6-dimethyl-4-(1-methyleth",31.377,995,1549809.9,0.64,5129091.1,0.53
(-)-cis-Myrtanol,32.501,450,8029970.8,3.33,31245055.0,3.24
Phenylethyl Alcohol,33.439,994,6073802.2,2.52,18633296.0,1.93
ortho-Methoxyacetophenone,35.500,977,5033115.5,2.09,15727844.5,1.63
Methyleugenol,35.723,137,672463.9,0.28,2238282.5,0.23
"Phenol, 4-ethyl-2-methoxy-",36.382,821,27430252.6,11.38,101264350.3,10.50
3-Phenylpropanol,36.803,982,1520233.1,0.63,4531777.2,0.47
4-Vinylphenol,37.331,973,1203207.0,0.50,8791656.1,0.91
